STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",28/05/1960,0.3,0,0,22.2,12.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",29/05/1960,0,0,0,22.2,16.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",30/05/1960,1,0,0,25,13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",31/05/1960,0,0,0,26.7,13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",01/06/1960,0,0,0,27.8,15.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",02/06/1960,13.7,0,0,25.6,14.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",03/06/1960,0,0,0,27.2,16.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",04/06/1960,6.6,0,0,28.9,17.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",05/06/1960,26.2,0,0,22.2,16.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",06/06/1960,0,0,0,21.7,12.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",07/06/1960,0,0,0,21.1,12.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",08/06/1960,0,0,0,23.3,11.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",09/06/1960,0,0,0,25.6,12.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",10/06/1960,0,0,0,26.1,16.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",11/06/1960,0.5,0,0,26.7,18.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",12/06/1960,29,0,0,21.1,14.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",13/06/1960,20.3,0,0,20.6,14.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",14/06/1960,0,0,0,23.9,14.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",15/06/1960,0,0,0,26.7,17.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",16/06/1960,1.3,0,0,26.1,15
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",17/06/1960,0,0,0,22.2,11.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",18/06/1960,0,0,0,26.7,16.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",19/06/1960,5.8,0,0,25.6,18.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",20/06/1960,0,0,0,22.8,16.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",21/06/1960,7.1,0,0,20.6,16.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",22/06/1960,0,0,0,26.7,18.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",23/06/1960,0,0,0,26.7,15.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",24/06/1960,0.8,0,0,23.3,13.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",25/06/1960,0,0,0,26.1,15
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",26/06/1960,0,0,0,26.1,18.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",27/06/1960,0,0,0,26.7,18.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",28/06/1960,0,0,0,29.4,20.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",29/06/1960,0.3,0,0,29.4,19.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",30/06/1960,0,0,0,24.4,20.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",01/07/1960,2.5,0,0,26.7,15.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",02/07/1960,0,0,0,30.6,18.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",03/07/1960,3.8,0,0,28.3,19.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",04/07/1960,0,0,0,24.4,13.3
