STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00131442,"CHEROKEE, IA US",27/07/1960,0,0,0,29.4,11.1
USC00131442,"CHEROKEE, IA US",28/07/1960,0,0,0,32.2,15
USC00131442,"CHEROKEE, IA US",29/07/1960,0,0,0,29.4,18.3
USC00131442,"CHEROKEE, IA US",30/07/1960,16.5,0,0,28.3,11.7
USC00131442,"CHEROKEE, IA US",31/07/1960,0,0,0,26.7,8.9
USC00131442,"CHEROKEE, IA US",01/08/1960,0,0,0,31.1,15
USC00131442,"CHEROKEE, IA US",02/08/1960,0,0,0,34.4,23.9
USC00131442,"CHEROKEE, IA US",03/08/1960,0,0,0,33.3,20.6
USC00131442,"CHEROKEE, IA US",04/08/1960,0,0,0,32.2,16.1
USC00131442,"CHEROKEE, IA US",05/08/1960,0.5,0,0,27.8,18.3
USC00131442,"CHEROKEE, IA US",06/08/1960,29,0,0,31.7,18.3
USC00131442,"CHEROKEE, IA US",07/08/1960,0,0,0,27.8,16.1
USC00131442,"CHEROKEE, IA US",08/08/1960,0,0,0,26.1,15.6
USC00131442,"CHEROKEE, IA US",09/08/1960,0.8,0,0,25,13.3
USC00131442,"CHEROKEE, IA US",10/08/1960,0,0,0,25,10
USC00131442,"CHEROKEE, IA US",11/08/1960,0,0,0,28.9,10
USC00131442,"CHEROKEE, IA US",12/08/1960,0,0,0,28.9,9.4
USC00131442,"CHEROKEE, IA US",13/08/1960,0,0,0,29.4,15
USC00131442,"CHEROKEE, IA US",14/08/1960,0,0,0,25.6,12.2
USC00131442,"CHEROKEE, IA US",15/08/1960,0,0,0,26.7,12.2
USC00131442,"CHEROKEE, IA US",16/08/1960,0,0,0,30.6,17.8
USC00131442,"CHEROKEE, IA US",17/08/1960,1,0,0,26.1,20
USC00131442,"CHEROKEE, IA US",18/08/1960,4.3,0,0,26.1,17.8
USC00131442,"CHEROKEE, IA US",19/08/1960,0,0,0,24.4,13.3
USC00131442,"CHEROKEE, IA US",20/08/1960,14.5,0,0,27.2,15
USC00131442,"CHEROKEE, IA US",21/08/1960,0.5,0,0,28.9,13.3
USC00131442,"CHEROKEE, IA US",22/08/1960,0,0,0,29.4,14.4
USC00131442,"CHEROKEE, IA US",23/08/1960,0,0,0,31.1,19.4
USC00131442,"CHEROKEE, IA US",24/08/1960,3.3,0,0,28.3,18.3
USC00131442,"CHEROKEE, IA US",25/08/1960,6.4,0,0,28.3,17.8
USC00131442,"CHEROKEE, IA US",26/08/1960,6.4,0,0,27.2,9.4
